idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
012686905,Abvz,Wochenblatt Papierfabrikation,Fachmagazin für die Papier- und Zellstoffindustrie,,,,98764324X,
012686905,Abvz,Wochenblatt Papierfabrikation,Fachmagazin für die Papier- und Zellstoffindustrie,,,,978930886,
012686905,Abvz,Wochenblatt Papierfabrikation,Fachmagazin für die Papier- und Zellstoffindustrie,,,,989374769,
012686905,Abvz,Wochenblatt Papierfabrikation,Fachmagazin für die Papier- und Zellstoffindustrie,,,,010473831,
012706442,Abvz,Musen-Almanach,,,,,1059621398,
012715581,Abvz,Staats- und Adresskalender für das Königreich Hannover,,,,,1059622246,
012720623,Abvz,Journal zur Kunstgeschichte und zur allgemeinen Litteratur,,,,,024205303,
012729345,Abvz,Fliegende Blätter,,,,,982161387,
012731943,Abvz,Novellen-Zeitung,"eine Wochenchronik für Literatur, Kunst, schöne Wissenschaften u. Gesellschaft",,,,017712157,1222702711
012735639,Abvz,Müllers grosses deutsches Ortsbuch,vollständiges Ortslexikon ; enthält ... Ortsnamen und für alle Städte und Gemeinden Angaben zur politischen Gliederung und zur räumlichen Zuständigkeit einer Vielzahl von Behörden und Gerichten sowie einen ausführlichen Anhang mit Adress- und weiteren Angaben,,,,01584028X,
012735639,Abvz,Müllers grosses deutsches Ortsbuch,vollständiges Ortslexikon ; enthält ... Ortsnamen und für alle Städte und Gemeinden Angaben zur politischen Gliederung und zur räumlichen Zuständigkeit einer Vielzahl von Behörden und Gerichten sowie einen ausführlichen Anhang mit Adress- und weiteren Angaben,,,,02502115X,
012735639,Abvz,Müllers grosses deutsches Ortsbuch,vollständiges Ortslexikon ; enthält ... Ortsnamen und für alle Städte und Gemeinden Angaben zur politischen Gliederung und zur räumlichen Zuständigkeit einer Vielzahl von Behörden und Gerichten sowie einen ausführlichen Anhang mit Adress- und weiteren Angaben,,,,1021589063,
012737240,Abvz,Die @Spinnstube,ein Volksbuch für d. Jahr ...,,,,1046543156,
012764744,Abvz,Gothaischer Hofkalender zum Nutzen und Vergnügen,,,,,01122164X,1046059068
012764744,Abvz,Gothaischer Hofkalender zum Nutzen und Vergnügen,,,,,010774475,1046059068
012764752,Abvz,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,01122164X,
012764752,Abvz,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,012764833,
012764752,Abvz,Gothaischer genealogischer Hof-Kalender,auf das Jahr ...,,,,1046550012,
012765775,Abvz,"Gothaisches Jahrbuch für Diplomatie, Verwaltung und Wirtschaft",,,,,01122164X,
012773980,Abvz,Der @blutige Ernst,satirische Wochenschrift,,,,997234040,
012819565,Advz,Denkschriften,,,,,1024007553,
012823988,Abvz,Ergänzungsblätter zur Kenntnis der Gegenwart,,,,,1059627558,
012825204,Abvz,"Allgemeines Verzeichnis der Bücher, welche von Ostern bis Michaelis von Michaelis bis Ostern neu gedruckt oder aufgelegt worden sind",,,,,983437998,
012852783,Abvz,Hallische Jahrbücher für deutsche Wissenschaft und Kunst,,,,,993485782,
012852783,Abvz,Hallische Jahrbücher für deutsche Wissenschaft und Kunst,,,,,1046054201,
012976369,Abvz,Der @Kinderfreund,ein Wochenblatt,,,,1018217479,
012982083,Abvz,Kriegs-Kalender für gebildete Leser aller Stände,,,,,1046048678,
01298406X,Abvz,Penelope,Taschenbuch d. Häuslichkeit u. Eintracht gewidmet auf d. Jahr ...,,,,980512999,
012997978,Abvz,Leipziger Musenalmanach,,,,,1016520980,
