idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1072161362,Aa,Antiquitates Romanae,,,300 Bl.,,,,,,,
1072161729,Aa,Institutiones oratoriae,,,202 Bl.,,,,,,,
1072162032,Aa,Satirae,,,66 Bl.,,,,,,,
1072162407,Aa,De coniuratione Catilinae. De bello Iugurthino,,,72 Bl.,,,,,,,
1072170264,Aa,Commentarium in Vergilii opera,,,349 Bl.,,,,,,,
1072172607,Aa,Epistola ad Rabbi Isaac seu rationes ad reprobandos Iudaeorum errores,,,40 Bl.,,,,,,,
1072183919,Aa,Decisiones  rotae Romanae (I-III),,,228 Bl.,,,,,,,
1072184923,Aa,Opera,,,264 Bl.,,,,,,,
1072187108,Aa,La @ciroxia vulgarmente fata,,,46 Bl.,,,,,,1268941085,Qd
1072187906,Aa,Cirogia,,,118 Bl.,,,,,,1268941085,Qd
107218866X,Aa,Oratio in funere Bartholomaei Colei,,,18 Bl.,,,,,,,
1072189011,Aa,De orthographia dictionum e Graecis tractarum,,,346 Bl.,,,,,,,
107218981X,Aa,De astrolabio canones,,,42 Bl.,,,,,,,
1072190648,Aa,Ars minor,,,12 Bl.,,,,,,,
1072254964,Aa,Commentum in Ciceronis Oratorem,,,176 Bl.,,,,,,,
1072255812,Aa,Epistola ad Rabbi Isaac seu rationes ad reprobandos Iudaeorum errores,,,28 Bl.,,,,,,,
1072318075,Aa,Biblia aurea,,,114 Bl.,,,,,,,
107231830X,Aa,Quaestiones naturales philosophorum,,,10 Bl.,,,,,,,
1072318768,Aa,Vocabularius poeticus,,,[ungez. Bl.],,,,,,,
1072319012,Aa,Dialogus recommendationis exprobationisque poetices,,,12 Bl.,,,,,,,
1072320371,Aa,De componendis versibus,,,32 Bl.,,,,,,,
1072320568,Aa,De tranquillitate animi,,,32 Bl.,,,,,,,
1072320673,Aa,Infirmorum visitatio,,,6 Bl.,,,,,,,
1072320762,Aa,Oratio querulosa contra invasores sacerdotum. Mit Widm. an Papst Alexander VI,,,8 Bl.,,,,,,,
1072320894,Aa,De sacramentis,,,126 Bl.,,,,,,,
1072321378,Aa,Sermones de tempore et de sanctis,,,274 Bl.,,,,,,,
1072321602,Aa,Modus confitendi et poenitendi (Poeniteas cito),,,,,,,,,,
1072321904,Aa,Confessionale [etc.],,,96 Bl.,,,,,,,
1072322234,Aa,Vitae illustrium virorum,,,318 Bl.,,,,,,,
1072322579,Aa,Getijdenboek (Almanach 1480–1521),,,"P.1: 190 Bl., P.2: 48 Bl.",,,,,,,
1072322838,Aa,Opera,,,220 Bl.,,,,,,1268951293,Qd
1072323095,Aa,Satyrae,,,72 Bl.,,,,,,,
107237806X,Aa,De officiis [etc.],,,84 Bl.,,,,,,1268951471,Qd
1072378264,Aa,Opera,,,52 Bl.,,,,,,1268951471,Qd
107237840X,Aa,De latitudinibus formarum,,,20 Bl.,,,,,,,
1072378566,Aa,De vita spirituali animae,,,76 Bl.,,,,,,,
1072378760,Aa,Epistolae ad Lucilium,,,108 Bl.,,,,,,,
1072378957,Aa,"De iure emphyteutico (Cod. 4,66)",,,76 Bl.,,,,,,,
1072379198,Aa,Declamationes,,,88 Bl.,,,,,,1268947210,Qd
107237935X,Aa,"Summa theologiae. P. 2,1",,,200 Bl.,,,,,,1268949337,Qd
1072379643,Aa,De rerum natura,,,130 Blätter,,,,,,1268940860,Qd
1072379988,Aa,De orthographia dictionum e Graecis tractarum,,,188 Bl.,,,,,,1268940054,Qd
1072381877,Aa,Tristia,,,70 Bl.,,,,,,,
1072382318,Aa,Historiae,,,80 Bl.,,,,,,126896333X,Qd
1072382814,Aa,In epistolas ad familiares Ciceronis commentum,,,298 S.,,,,,,,
107238311X,Aa,The @Golden Legend,,,448 Bl.,,,,,,,
1072383721,Aa,De consideratione,,,60 Bl.,,,,,,,
1072494108,Af,,,Postilla super totam Bibliam,444 Bl.,P.2.,Paralipomena - Psalmi,,,,,
107249423X,Af,,,Postilla super totam Bibliam,588 Bl.,P.4.,Evangelia - Apocalypsis,,,,,
1077047398,Af,,,"Biblia, lat.",220 Bl.,Pars 1,,,,,,
1077047428,Af,,,"Biblia, lat.",216 Bl.,Pars 2,,,,,,
1079531114,Aal,Missale Pataviense,,,367 Bl.,,,,,,,
1079550038,Aal,De viris illustribus [etc.],,,37 Bl. [a–c¹⁰d⁷],,,,,,1268947989,Qd
107955016X,Aal,De essentia divinitatis,,,16 Bl.,,,,,,1268947989,Qd
1079550275,Aal,De quantitate animae,,,29 Bl.,,,,,,1268947989,Qd
1079550437,Aal,Soliloquia. Lib. 1.2.,,,28 Bl.,,,,,,1268947989,Qd
1079550615,Aal,Imitatio Christi,,,76 Bl.,,,,,,1268947989,Qd
1079551522,Aal,Errores Iudaeorum ex Talmud extracti. [Daran:] Probationes Novi Testamenti ex Veteri Testamento,,,12 Bl.,,,,,,1268947989,Qd
1079551808,Aal,Donatus moralisatus,,,8 Bl.,,,,,,1268947989,Qd
1079551913,Aal,Dispositorium moriendi,,,8 Bl.,,,,,,1268947989,Qd
1079552596,Aal,Psalterium latinum,,,98 Bl.,,,,,,,
107955310X,Aal,Summa de articulis fidei et ecclesiae sacramentis,"Mit Widm. an Leonardus, Erzbischof von Palermo",,16 Bl.,,,,,,,
1079553606,Aal,De corpore christi. [Daran:] Nicolaus de Lyra: Dicta de sacramento und Intellectus super oratione dominica,,,32 Bl.,,,,,,,
1079554416,Aal,Ars praedicandi,,,12 Bl.,,,,,,1268957623,Qd
1079559167,Aal,Quadragesimale s. De preservatione hominis a peccato,,,106 Bl.,,,,,,,
1079560041,Aal,Expositio logicae,,,108 Bl.,,,,,,,
1079560564,Aa,Super II. parte Infortiati,,,238 Bl.,,,,,,,
1079733698,Aal,De imagine mundi,,,48 Bl.,,,,,,1268961159,Qd
1084605600,Aa,De indulgentiis pro animabus in purgatorio,,,6 ungezählte Blätter,,,,,,,
1084608782,Aa,De libero arbitrio aliaque opuscula,,,10 ungezählte Blätter,,,,,,,
1084609754,Aal,Compendium theologicae veritatis,,,"96 Blätter (2 Spalten, 50 Zeilen)",,,,,,1268950041,Qd
1084610876,Aa,Hortus sanitatis,,,360 ungezählte Blätter,,,,,,,
1084611961,Aa,Sermones Thesauri novi de sanctis,,,254 ungezählte Blätter,,,,,,1268947474,Qd
1085177238,Afl,,,Opera,268 ungezählte Blätter,[Pt. 1],,,,,,
1085177637,Afl,,,Opera,302 ungezählte Blätter,[Pt. 2],,,,,,
1085177750,Afl,,,Opera,290 ungezählte Blätter,[Pt. 3],,,,,,
1109774656,Aa,"Plenarium, deutsch",,,2 Bände,,,,,,1066941572,Qd
110977575X,Aa,"Biblia, deutsch",,,2 Bände (321 und 332 Blätter),,,,,,1066941572,Qd
1109813201,Aa,Missale Augustanum,,,258 ungezählte Blätter,,,,,,1066941572,Qd
1109815573,Aa,Summa angelica de casibus conscientiae,,,358 Blätter,,,,,,1066941572,Qd
1109815573,Aa,Summa angelica de casibus conscientiae,,,358 Blätter,,,,,,1066941572,Qd
110982050X,Aa,Opuscula,,,"2 Bände, Band 1: 380 Blätter, Band 2: 370 Blätter",,,,,,1066941572,Qd
1109921993,Aa,Decretum,,,254 Blätter,,,,,,1066941572,Qd
1110068220,Aa,Chronicon,,,"3 Bände, Band 1: 292 Blätter, Band 2: 328 Blätter, Band 3: 340 Blätter",,,,,,1066941572,Qd
1110073437,Aa,Sermones de sanctis,,,[309] Bl.,,,,,,1066941572,Qd
111007414X,Aa,Super IV sententiarum,,,218 Blätter,,,,,,1066941572,Qd
1124707255,Abvz,Journal der Künste,,,Bände,,,1131558146,,,,
1132645409,Af,,,"Biblia, lat.",440 Blätter,3.,Tertia pars huius,,,,,
1138321850,Qd,Sammelband mit zwei Inkunabeln,,,Band mit angebundenem Werk,,,,,,,
1138380822,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Strassburg von Johann Mentelin",,,Band mit angebundenem Werk,,,,,,,
1142401294,Pa,Lederschnitteinband für eine Mentelinbibel mit vorgebundener Handschrift,"Holzdeckel aus Buchenholz, überzogen mit braunem Rindsleder, mit Lederschnitt verziert, Franken (Nürnberg?), um 1470",,,,,1142397084,,,1064781187,Qd
1154288153,Aa,De vero et perfecto clerico,,,117 Blätter,,,,,,,
1162232404,Af,Gerson,Jean,Opera,230 ungezählte Blätter,1,Prima pars operum,,,,1268961639,Qd
1162234644,Af,Gerson,Jean,Opera,50 ungezählte Blätter (A8B–G6.8),Reg.,Inventarium eorum que in operibus Gersonis continentur,,,,1268961639,Qd
1162446471,Aa,Officii missae sacrique canonis expositio,,,182 Bl.,,,,,,1268950440,Qd
1164536214,Af,,,"Opera, lat.",132 Bl.,"P. 3,1",Metaphysica,,,,,
1164536303,Af,,,"Opera, lat.",104 Bl.,"P. 3,2",Ethica ad Nicomachum. Politica. Oeconomica,,,,,
1166155838,Af,,,"Biblia, lat.",384 Bl.,Pars 4.,,,,,,
1168282241,Aa,Margarita decreti,,,120 Bl.,,,,,,1268958956,Qd
1171730640,Af,,,Postilla super totam Bibliam,452 Bl.,Pars 2.,,,,,,
1173179313,Af,,,"Summa theologica, P. 1-4",323 Blätter,2.,Pars 2,,,,,
1188833995,Aa,Biblia,,,426 Blätter,,,,,,,
118883424X,Aa,"Biblia, deutsch",,,534 Blätter,,,,,,,
1188834428,Aa,Constitutiones,,,65 Blätter,,,,,,,
1188834916,Aa,Decretum,,,390 Blätter,,,,,,,
118883505X,Aa,Constitutiones,,,74 Blätter,,,,,,,
1188838687,Aa,Epistola de gubernatione rei familiaris,,,"1 Blatt, einseitig bedruckt",,,,,,,
1188903357,Aa,Zeichen der falschen Gulden,,,"1 Blatt, einseitig bedruckt",,,,,,,
1188904396,Aa,Ablassbrief zum besten des Kampfes gegen die Türken,,,"1 Blatt, einseitig bedruckt",,,,,,,
118890471X,Aa,"Ach Gott, wem soll ich’s klagen, geistlich",,,"1 Blatt, einseitig bedruckt",,,,,,,
1188907514,Aa,De civitate dei,,,271 Blätter,,,,,,,
1188907697,Aa,"Biblia, deutsch",,,404 Blätter,,,,,,,
118890793X,Aa,"Biblia, deutsch",,,1. 256 Blätter; 2. 258 Blätter,,,,,,,
1188908480,Aa,"Biblia, niederdeutsch",,,544 Blätter,,,,,,,
1188908820,Aa,Biblia niederdeutsch,,,542 Blätter,,,,,,,
1189149990,Aa,"Biblia, deutsch",,,586 Blätter,,,,,,,
1189150468,Aa,Missale Wratislaviense,,,234 Blätter,,,,,,,
118915143X,Aa,"Biblia, niederdeutsch",mit Glossen zu einzelnen Büchern nach den Postillen des Nicolaus de Lyra,,492 Blätter,,,,,,,
1189152584,Aa,"Floretum S. Matthaei, I. u. II",,,"Pt. 1: 270 Blätter, Pt. 2: 272 Blätter",,,,,,,
1189154285,Aa,Postilla super totam Bibliam. Vol. I–V,,,"P. 1: 452 Blätter, P. 2: 452 Blätter, P. 3: 402 Blätter, P. 4: 234 Blätter, P. 5.: 292 Blätter",,,,,,,
1189171201,Aa,Orationes,,,"T. 1: 160 Blätter, Teil 2: 150 Blätter",,,,,,,
1189171899,Aa,La @Commedia,,,"168, 108, 96 Blätter",,,,,,,
1189173360,Aa,Lexicon,graec.,,516 Blätter,,,,,,,
1189183587,Aa,De oratore,,,109 Blätter,,,,,,,
1189187140,Aa,Opera,,,220 Blätter,,,,,,,
1189187590,Aa,Tusculanae disputationes,,,71 Blätter,,,,,,,
1189365987,Aa,Cato maior de senectute. Daran: Somnium Scipionis,,,18 Blätter,,,,,,,
1189366657,Aa,"Laelius, sive de amicitia",,,16 Blätter,,,,,,,
118936736X,Aa,Paradoxa stoicorum,,,8 Blätter,,,,,,,
1189369893,Aa,Homiliae super Johannem,,,280 Blätter,,,,,,,
1189785331,Aa,Scrutinium scripturarum,,,288 Blätter,,,,,,,
1189785668,Aa,Opera,,,186 Blätter,,,,,,,
118978615X,Aa,De officiis etc.,,,126 Blätter,,,,,,,
1192035380,Aa,Epistolae ad familiares,,,204 Blätter,,,,,,,
1192036417,Aa,Manipulus curatorum,,,130 Blätter,,,,,,,
1192039955,Aa,Facta et dicta memorabilia,,,196 Blätter,,,,,,,
1192041372,Aa,Apophthegmata,,,80 Blätter,,,,,,,
119204231X,Aa,De cometis,,,12 Blätter,,,,,,,
119204312X,Aa,Bibliotheca,,,104 Blätter,,,,,,,
1192048105,Aa,Die @24 goldenen Harfen,,,161 Blätter,,,,,,,
1192051653,Aa,"Capitulum omnis utriusque sexus, disputatum et repetitum",,,128 Blätter,,,,,,,
1192053990,Aa,De claris mulieribus,,,148 Blätter,,,,,,,
1192056523,Aa,Sermones quadragesimales de legibus,,,404 Blätter,,,,,,,
1192056671,Aa,Opera,,,260 Blätter,,,,,,,
1192326652,Aa,Opus restitutionum,,,216 Blätter,,,,,,,
1192327330,Aa,Repertorium juris,,,198 Blätter,,,,,,,
1192328337,Aa,Scrutinium scripturarum,,,270 Blätter,,,,,,,
1192329678,Aa,Kalendarium,,,30 Blätter,,,,,,,
1192330943,Aa,Expositio super toto psalterio,,,198 Blätter,,,,,,,
1192335457,Aa,Liber de priscorum proprietate verborum,,,330 Blätter,,,,,,,
1192337220,Aa,Jüngerer Titurel,,,309 Blätter,,,,,,,
1192337638,Aa,Scrutinium scripturarum,,,217 Blätter,,,,,,,
1192338170,Aa,De cognitione verae vitae,,,34 Blätter,,,,,,,
1192338693,Aa,De vita christiana,,,18 Blätter,,,,,,,
1192339088,Aa,Herbarius,,,174 Blätter,,,,,,,
1192339606,Aa,Gart der Gesundheit,,,360 Blätter,,,,,,,
1192403851,Aa,Meditationes,,,50 Blätter,,,,,,,
1192404564,Aa,Titel der Gesetze der neuen Reformation der Stadt Nürnberg 1479 fürgenommen,,,24 Blätter,,,,,,,
1192404947,Aa,Gesta Romanorum,,,144 Blätter,,,,,,,
1192407873,Aa,Dat @boeck des gulden throens,,,202 Blätter,,,,,,,
1192479890,Aa,Plenarium,Epistolae et Evangelia,,336 Blätter,,,,,,,
119248021X,Aa,Spiegel menschlicher Behaltniss,,,236 Blätter,,,,,,,
1192480465,Aa,Metamorphoses,,,172 Blätter,,,,,,,
1192481119,Af,,,Sermones de tempore,360 Blätter,Pars 2,Pars aestivales.,,,,,
1192481739,Aa,Eyn @bürdlin oder versamlung der zyt,,,142 Blätter,,,,,,,
1192482026,Aa,Lucidarius,,,24 Blätter,,,,,,,
1192482263,Aa,Die @vierundzwanzig Alten oder der goldene Thron,,,154 Blätter,,,,,,,
1192484665,Aa,Dz @buoch Belleal genant von des gerichtz ordenung,,,70 Blätter,,,,,,,
1192485211,Aa,Missale Bambergense,,,324 Blätter,,,,,,,
1192485467,Aa,Fasciculus temporum,,,72 Blätter,,,,,,,
1192485769,Aa,Fasciculus temporum,,,72 Blätter,,,,,,,
1192530063,Aa,"Vitae parallelae, ital.",,,334 Blätter,,,,,,,
119254384X,Aa,Epistolae familiares,,,304 Blätter,,,,,,,
1192543947,Aa,Formulare und deutsch Rhetorica,,,158 Blöätter,,,,,,,
1192544080,Aa,Concilium zu Costencz,,,250 Blätter,,,,,,,
1192544277,Aa,Der @Seelentrost,,,176 Blätter,,,,,,,
1192544463,Aa,Die @hystori von dem grossen Alexander,,,156 Blätter,,,,,,,
1192544552,Aa,Leben der heiligen Altväter,,,284 Blätter,,,,,,,
1192544676,Aa,Ein @arczney buch von allen gepräszten der menschen: wye man den helffen sol zu irer gesuntheyt vnd stercke,,,194 Blätter,,,,,,,
1192715640,Aa,Auslegung der heiligen Messe,,,106 Blätter,,,,,,,
1192716078,Aa,Von den ausgebrannten Wassern,,,14 Blätter,,,,,,,
1192716930,Aa,Martyrologium,,,68 Blätter,,,,,,,
1192717473,Aa,Eyn @bürdlin der zeyt,,,142 Blätter,,,,,,,
1192801431,Aa,Reformation der Stadt Nürnberg,,,214 Blätter,,,,,,,
1192802101,Aa,Revelationes,,,312 Blätter,,,,,,,
1192861132,Aa,Reise ins heilige Land,,,180 Blätter,,,,,,,
1192861310,Aa,Peregrinatio in terram sanctam,,,164 Blätter,,,,,,,
1192861981,Aa,Peregrinatio in terram sanctam,,,188 Blätter,,,,,,,
119286283X,Aa,Die @vierundzwanzig goldenen Harfen,,,174 Blätter,,,,,,,
1192863720,Aa,Die @vierundzwanzig Alten oder der goldene Thron,,,128 Blätter,,,,,,,
1192950593,Aa,Frutti della lingua,,,90 Blätter,,,,,,,
1192951026,Aa,Pasionál čili Knihy o životech svatých,,,254 Blätter,,,,,,,
1192951654,Aa,"Chronica, deutsch",,,332 Blätter,,,,,,,
1192951875,Aa,Sachsenspiegel,,,254 Blätter,,,,,,,
1192991672,Aa,Hypnerotomachia Poliphili,,,234 Blätter,,,,,,,
1192997867,Aa,Therence en francois Prose et Rime auecques le latin,,,376 Blätter,,,,,,,
1193000254,Aa,Ars minor (De octo partibus orationis),,,12 Blätter,,,,,,,
1193052483,Aa,De officiis etc.,,,88 Blätter,,,,,,,
1193052718,Aa,Deutscher Kalender,,,80 Blätter,,,,,,,
1193053110,Aa,"Buch der Weisheit, oder der alten Weisen",,,204 Blätter,,,,,,,
1193053862,Aa,Epistola de morte Hieronymi etc.,,,73 Blätter,,,,,,,
1193070821,Aa,"De quatuor novissimis, ou les quatre choses dernières auxquelles la nature humaine doit toujours penser",,,152 Blätter,,,,,,,
1193071070,Aa,Formulario de epistole volgare,,,44 Blätter,,,,,,,
1193071550,Aa,Summa angelica de casibus conscientiae,,,388 Blätter,,,,,,,
1193094917,Aa,De re militari,,,6 Blätter,,,,,,,
1193103843,Aa,Alphabetum divini amoris,,,48 Blätter,,,,,,,
1193105021,Aa,Poetica astronomica,,,56 Blätter,,,,,,,
1193107970,Aa,In Robertum Severinatem panegyricum carmen,,,50 Blätter,,,,,,,
1193108411,Aa,Van den leven der heiligen vaderen,,,166 Blätter,,,,,,,
1193133629,Qd,"Sammelband mit zwei Inkunabeln, gedruckt von Friedrich Creussner in Nürnberg",,,Band mit angebundenem Werk,,,,,,,
1193134293,Aa,Roseum memoriale divinorum eloquiorum,,,56 Blätter,,,,,,1193133629,Qd
1193141923,Aa,Expositio in septem psalmos poenitentiales,,,82 Blätter,,,,,,,
1193148715,Aa,Passio S. Meinradi,,,14 Blätter,,,,,,,
1193149010,Aa,Aphorismi compunctionis theologicales,,,40 Blätter,,,,,,,
1193149541,Aa,Opera,,,122 Blätter,,,,,,,
1193150035,Aa,Das @ist sant Pauls leben des ersten eynsidels. und ist auch das leben des heyligen vatters sant Anthoenigs,,,48 Blätter,,,,,,,
119315037X,Aa,Die @Walfart oder bilgerung unser lieben frauwen,,,70 Blätter,,,,,,,
119702610X,Aa,Psalterium cum canticis,,,175 Blätter,,,,,,,
1200511840,Aa,Rechnung auf alle Kaufmannschaft,,,"Titelblatt, 162 Blätter",,,,,,,
1268385603,Qd,Sammelband mit einer Inkunabel und einem Druck von 1710,,,Band mit angebundenem Werk,,,,,,,
1268940054,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Venedig",,,Band mit angebundenem Werk,,,,,,,
1268940860,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Venedig",,,Band mit angebundenem Werk,,,,,,,
1268941085,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Venedig",,,Band mit angebundenem Werk,,,,,,,
126894694X,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Mainz",,,Band mit angebundenem Werk,,,,,,,
1268947210,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Venedig",,,Band mit angebundenem Werk,,,,,,,
1268947474,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Strassburg von Martin Flach",,,Band mit angebundenem Werk,,,,,,,
1268947989,Qd,"Sammelband mit 9 Werken, gedruckt in Augsburg von Günther Zainer",,,"Band mit 8 angebundenen Werken, davon eins in zwei Teilen",,,,,,,
1268948691,Qd,"Sammelband mit drei Inkunabeln, gedruckt in Venedig von Paganinus de Paganinis",,,Band mit 2 angebundenen Werken,,,,,,,
1268949337,Qd,Sammelband mit zwei Inkunabeln,zwei Bände der Summa theologiae aus verschiedenen Venediger Offizinen,,Band mit angebundenem Werk,,,,,,,
1268949655,Qd,Sammelband mit zwei Inkunabeln,,,Band mit angebundenem Werk,,,,,,,
1268950041,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Strassburg",,,Band mit angebundenem Werk,,,,,,,
1268950440,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Strassburg von Georg Reyser",,,Band mit angebundenem Werk,,,,,,,
1268950890,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Strassburg von Georg Husner",,,Band mit angebundenem Werk,,,,,,,
1268951293,Qd,Sammelband mit zwei Inkunabeln,,,Band mit angebundenem Werk,,,,,,,
1268951471,Qd,Sammelband mit zwei Inkunabeln,,,Band mit angebundenem Werk,,,,,,,
1268957623,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Memmingen von Albert Kunne",,,Band mit angebundenem Werk,,,,,,,
1268958271,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Köln",,,Band mit angebundenem Werk,,,,,,,
1268958956,Qd,Sammelband mit zwei Inkunabeln,,,Band mit angebundenem Werk,,,,,,,
1268960594,Qd,Sammelband mit Inkunabel und Fachbuch des 19. Jahrhunderts,,,Band mit angebundenem Werk,,,,,,,
1268961159,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Nürnberg bei Anton Koberger",,,Band mit angebundenem Werk,,,,,,,
1268961639,Qd,Sammelband mit zwei Teilen der Opera von Johannes Gerson,,,Band mit vorgebundenem Inventarium,,,,,,,
126896333X,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Venedig",,,Band mit angebundenem Werk,,,,,,,
1269214527,Af,,,Summa universae theologiae,360 Bl.,Pars 4,,,,,1066941572,Qd
1269230115,Qd,"Sammelband mit zwei Inkunabeln, gedruckt in Mainz von Peter Schöffer",,,Band mit angebundenem Werk,,,,,,,
