idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,011193050,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,017720826,,
010161392,Abvz,Bericht,umfassend die Zeit vom ... bis zum ...,,,,,107565081X,,,,
010179305,Abvz,Anzeiger des österreichischen Buchhandels,Mitteilungsblatt des Hauptverbandes des Österreichischen Buchhandels,,,,,,,,,
010194460,Abvz,Auktion,,,,,,,,,,
010346341,Abvz,Jahresbericht,,,,,,980267536,,,,
010386211,Abvz,Illustrierter Neue-Welt-Kalender,für das Jahr ...,,,,,,,,,
010420495,Abvz,Forschung Frankfurt,das Wissenschaftsmagazin der Goethe-Universität,,,,,024822884,,,,
01058501X,Abvz,Bericht des Hamburger Gewerkschaftskartells,für das Geschäftsjahr ...,,,,,,1216886326,,,
010590366,Abvz,World labour report,,,,,,017317584,,,1156469481,Qd
010603581,Abvz,Leipziger Blätter,,,,,,,,,,
01067294X,Abvz,Ciba-Rundschau,,,,,,,,,,
010690530,Abvz,"Internationale Bibliographie der Antiquariats-, Auktions- und Kunst-Kataloge",IBAK,,,,,,,,,
010693319,Abvz,Das @Papier,"Zeitschrift für die Erzeugung von Holzstoff, Zellstoff, Papier und Pappe, Chemische Technologie der Cellulose ; Zeitschrift des Vereins der Zellstoff- und Papier-Chemiker und -Ingenieure, der deutschen Zellstoff- und Papierfachverbände ; amtliches Organ der Papiermacherberufsgenossenschaft",,,,,,,,,
010694072,Abvz,Philobiblon <Stuttgart>,eine Vierteljahrsschrift für Buch- und Graphiksammler,,,,,,,,,
010694757,Abvz,Aus Politik und Zeitgeschichte,APuZ,,,,,021247129,,010695311,,
010694757,Abvz,Aus Politik und Zeitgeschichte,APuZ,,,,,021247129,,011849088,,
010694757,Abvz,Aus Politik und Zeitgeschichte,APuZ,,,,,021247129,,010695311,,
010695354,Abvz,Bibliographie de la France,,,,,,,,,,
010695826,Abvz,Bulletin of the New York Public Library,,,,,,,,,,
010697454,Abvz,Erwerbungen,Auswahl,,,,,,,,,
010698698,Abvz,Börsenblatt für den deutschen Buchhandel,Frankfurt am Main und Leipzig,,,,,021603596,,,,
010698701,Abvz,Der @junge Buchhandel,,,,,,,,010698698,,
01069871X,Abvz,Forum junger Buchhandel,"Meinungen, Informationen, Berichte",,,,,,,010698698,,
010699090,Abvz,Punch,,,,,,,,,,
010701974,Abvz,The @Penrose annual,,,,,,,,,,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,012112070,1093416165,,,
