idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1002571642,Aal,1535,Thesavro De Scrit=||tori||,"opera artificiosa laquale con grandissima arte, si per pratica|| come per geometria insegna a Scruere diuerse sorte littere:|| cioè Cancellarescha: merchantes cha: formata: Cursiva: Antiqua: mo||derna: et bastarda, de piu sorte: ... Tutte extratte da diuersi ... Auttori: &|| massimamente dalo preclarißimo SIGISMVNDO|| fanto ... Intagliata",,,,,,,,
1002659264,Afl,1785,Wittwe Vandenhöck,,"Verzeichnis neuer Bücher, welche in der Leipziger ...-Messe und von andern Ländern angeschaffet worden und um beygesetzte billige Preise zu bekommen sind zu Göttingen bey der Wittwe Vandenhöck",1.,Die Buchstaben A bis L enthaltend,,,,,
100265940X,Afl,1785,Wittwe Vandenhöck,,"Verzeichnis neuer Bücher, welche in der Leipziger ...-Messe und von andern Ländern angeschaffet worden und um beygesetzte billige Preise zu bekommen sind zu Göttingen bey der Wittwe Vandenhöck",2,Die Buchstaben M bis Z enthaltend,,,,,
1002761042,Afl,1527,Verini,Giovanni Battista,Incipit liber primus [-quartus] elementorum litterarum Ioannis Baptiste de Verinis Florentini,1,,,,,,
1002761123,Afl,1527,Verini,Giovanni Battista,Incipit liber primus [-quartus] elementorum litterarum Ioannis Baptiste de Verinis Florentini,2,,,,,,
1002761166,Afl,1527,Verini,Giovanni Battista,Incipit liber primus [-quartus] elementorum litterarum Ioannis Baptiste de Verinis Florentini,3,,,,,,
1002761182,Afl,1527,Verini,Giovanni Battista,Incipit liber primus [-quartus] elementorum litterarum Ioannis Baptiste de Verinis Florentini,4,,,,,,
1002802458,Aal,1797,Verzeichniß der von der Hamburgischen Gesellschaft zur Beförderung der Künste und nützlichen Gewerbe gesammelten Bücher und Kunstwerke,,,,,,,,,
1002803705,Aal,1816,"Verzeichniß einer sehr bedeutenden Büchersammlung, worunter sich ...",,,,,,,,,
1002803772,Aal,1825,"Verzeichniß einer bedeutenden Büchersammlung, besonders theologische, medizinische ... Schriften, so wie mehrere Zeitungen und Journale enthaltend ... welche den 5. Sept. 1825 ... in Freyberg ... versteigert werden sollen",,,,,,,,,
