idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1182632130,Ha,1902,Heiteres und Ernstes aus Zwerg Nikis Leben in den 12 Monaten des Jahres,[Bilderbuch mit Versen],,,,,,,,
1182632521,Ha,1902,Lustige Geschichten von Zwerg Niki,[Bilderbuch mit Versen],,,,,,,,
1182634338,Ha,1921,Das @Buch Tobias,,,,,,,,,
1182634621,Ha,1921,Der @arme Heinrich,[Verse 1 bis 455],,,,,,,,
1192847598,Aa,1475,Die @Kunst Ciromantia,,,,,,,,,
1192848462,Aa,1476,Ars minor,,,,,,,,,
1196812780,Ha,1446,Brevier,[lateinische Handschrift],,,,,,,,
1196814368,Ha,1440,Sieben Bußpsalmen,[lateinische Handschrift],,,,,,,,
119681502X,Ha,14XX,Antiphonar,[lateinische Handschrift],,,,,,,,
1196815240,Ha,15XX,Graduale,[lateinische Handschrift],,,,,,,,
1196829721,Ha,14XX,Antiphonar,[lateinische Handschrift],,,,,,,,
1196834121,Ha,10XX,Institutiones Aquisgranenses,[lateinische Sammelhandschrift],,,,,,,,
1196835322,Ha,14XX,Geistliche Sammelhandschrift,[deutsche Handschrift],,,,,,,,
1196835551,Ha,1456,Lucidarius,[deutsche Handschrift],,,,,,,,
1196837503,Ha,1431,Kapiteloffiziumsbuch von St. Katharina Nürnberg,[lateinische und deutsche Handschrift],,,,,,,,
119683816X,Ha,1431,Ausschreiben des Conciliums zu Basel,[deutsche Handschrift],,,,,,,,
1196838577,Ha,1440,Historia scholastica,,,,,,,,,
1196840040,Ha,1446,Compendium theologicae veritatis,,,,,,,,,
119684173X,Ha,1447,Brevier,[lateinische Handschrift],,,,,,,,
1196844011,Ha,15XX,Psalter,[lateinische Handschrift],,,,,,,,
1196844321,Ha,1470,Bibelkommentare,[lateinische Handschrift],,,,,,,,
1196844682,Ha,1475,De quattuor virtutibus cardinalibus,,,,,,,,,
1196845689,Ha,1475,Admonitiones ethicae,,,,,,,,,
1196846251,Ha,1483,Brevier,[lateinische Handschrift],,,,,,,,
119684707X,Ha,14XX,Antiphonar,[lateinische Handschrift],,,,,,,,
1196847614,Ha,14XX,Alemannische Vitaspatrum,,,,,,,,,
1196847770,Ha,15XX,Aszetische Sammelhandschrift,,,,,,,,,
1196847932,Ha,14XX,Dictionarium vulgo Repertorium morale,,,,,,,,,
1196848637,Ha,14XX,Rituale,[deutsch-lateinische Handschrift],,,,,,,,
1196848831,Ha,14XX,Rituale,[deutsch-lateinische Handschrift],,,,,,,,
1196848890,Ha,14XX,Rituale,[deutsche Handschrift],,,,,,,,
1196893721,Ha,14XX,Spiegel der Vollkommenheit,[mit Nachtrag],,,,,,,,
1196895856,Ha,14XX,Rituale,[deutsch-lateinische Handschrift],,,,,,,,
1196896194,Ha,14XX,Antiphonar,[lateinische Handschrift],,,,,,,,
1196896771,Ha,14XX,Brevier,[lateinische Handschrift],,,,,,,,
119690278X,Ha,14XX,Antiphonar,[lateinische Handschrift],,,,,,,,
1196903263,Ha,14XX,Gebetbuch,[deutsche Handschrift],,,,,,,,
1196903433,Ha,14XX,Summa decretalium,,,,,,,,,
119690586X,Ha,14XX,Brevier,[lateinische Handschrift] ; [mit deutschen Nachträgen],,,,,,,,
1196906092,Ha,14XX,Diurnale,[lateinische Handschrift],,,,,,,,
1196906297,Ha,14XX,Psalter,"[zusammengesetzte Handschrift, Psalter, Predigt über elftausend Jungfrauen, Nachtrag: Gebete]",,,,,,,,
1196906335,Ha,14XX,Gebetbuch,[deutsche Handschrift],,,,,,,,
1196906475,Ha,14XX,Gebetbuch,[lateinisch-deutsche Handschrift],,,,,,,,
1196906688,Ha,14XX,Psalter,[lateinische Handschrift],,,,,,,,
1196907005,Ha,14XX,Gebetbuch,[lateinische Handschrift],,,,,,,,
1196907560,Ha,14XX,Sammelhandschrift,[lateinische Handschrift],,,,,,,,
