idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
107226532X,Aa,"Bulla (Salvator noster) [betr. den Ablass zum besten der Kirche der hl. Georg und Maria in Nördlingen], Rom, 9.II.1479/80",,,,,,,,,
107226580X,Aa,"Bulla (Salvator noster) [betr. den Ablass zum besten der Kirche der hl. Georg und Maria in Nördlingen], Rom, 9.II.1479/80",,,,,,,,,
1072266288,Aa,Lectura super I.-III. libro Institutionum,,,,,,,,,
107226661X,Aa,Dat @duytsche Passionael,,,,,,,,,
1072267047,Aa,Grammatica,,,,,,,,,
1072267322,Aa,Legenda aurea,,,,,,,,,
1072494159,Af,,,Postilla super totam Bibliam,P.3.,Proverbia - Machabaei,,,,,
107737318X,Pa,Druckersignet von Ulrich Zell,"Maria mit Kind auf einer steinernen Bank sitzend, umrahmt von Säulen und gotischem Maßwerk, oben links und rechts Wappen, am unteren Bildrand in Fraktur: Impressum Colonie apud Lijskirchen",,,,,,1173831592,,
1079550437,Aal,Soliloquia. Lib. 1.2.,,,,,,,,,
1079551522,Aal,Errores Iudaeorum ex Talmud extracti. [Daran:] Probationes Novi Testamenti ex Veteri Testamento,,,,,,,,,
1085177238,Afl,,,Opera,[Pt. 1],,,,,,
1085177750,Afl,,,Opera,[Pt. 3],,,,,,
1088451101,Aa,Sermones quadragesimales de peccatis etc.,,,,,,,,,
1091088985,Aa,Decretum,,,,,,,,,
1091097410,Aa,Von dem Psalter unserer lieben Frau,,,,,,,,,
1106570480,Aa,Vita et Fabulae,"Prosabearbeitung des Romulus nebst Vita in der Übers. des Rinucius und Fabeln aus anderen Sammlungen, lat. Mit der deutschen Übers. von Heinrich Steinhöwel",,,,,,,,
1108322905,Aa,De horis canonicis,,,,,,,,,
1110919883,Aa,Lehre und Unterweisung wie ein junger Mensch sich in Ehrbarkeit und guten Sitten erhalten soll,,,,,,1112629289,,,
1113034386,Aa,Evangelium,,,,,,,,,
1173179100,Af,,,"Summa theologica, P. 1-4",4.,Pars 4,,,,,
1173179313,Af,,,"Summa theologica, P. 1-4",2.,Pars 2,,,,,
1173452044,Af,,,"Biblia, lat.",6.,,,,,,
1173459332,Af,,,"Biblia, lat.",1.,Prima pars biblie,,,,,
1173831592,Aa,Commentum in sex tractarus Summularum logicalium Petri Hispani. Darin: Commentum tractatus correspondentis libro Posteriorum Aristotelis,,,,,,,,,
