idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
996976841,Aal,1957,Satzherstellung  auf dem Intertype-Fotosetter für die Produktion eines Verlages,,,,,,,,,,"in: Voehringer, Karl:. Der Photosatz als praktische Aufgabe"
996989994,Aal,1947,Erste Hauptversammlung des Börsenvereins der Buchhändler in der französisch besetzten Zone Deutschlands,,,,,,,,,,"in: Mitteilungen für den Buchhandel in der französischen Zone. Jg. 2. 1947, H. 5/6. Mai/Juni"
997001046,Aal,1905,Die @Amazonen-Literatur,,,,,,,,,,"in: Hayn, Hugo: Vier neue Curiositäten-Bibliographiien"
997001356,Aal,1905,Bibliotheca selecta erotico-curiosa,"Seltene dt. Curiosa, Erotica, Gynaecologica und Sexualia in der Königl. Öffentl. Bibliothek zu Dresden mit Ang. d. Standorts-Signaturen",,,,,,,,,"in: Hayn, Hugo: Vier neue Curiositäten-Bibliographiien"
997002611,Aal,1905,"Der @Halsbandprozeß und der Abentheurer Cagliostro, (geb, 1743 zu Palermo, 1795 zu S. Leo bei Forli)",,,,,,,,,,"in: Hayn, Hugo: Vier neue Curiositätten-Bibliographiien"
997002999,Aal,1905,"Der @Bayerische Hiesel (auch Brentanhiesel gen.) eigentlich  Matthias Klostermeyer, geb. 3. Sept. 1736 zu Hofmarkt Küssing, Ldger. Friedberg (bayer. Schwaben,) gerädert 6. Sept. 1771 zu Dillingen",,,,,,,,,,"in: Hayn, Hugo: Vier neue Curiositäten-Bibliographiien"
997041137,Aal,1841,Versuch einer Geschichte der Buchdruckerkunst im vormaligen Fürstenthume Bayreuth zur vierten Säcularfeier der Erfindung derselben,,,,,,,,,,"in: Archiv f. Geschichte und Alterthumskunde von Oberfranken. Bd 1, 3"
997044160,Aal,1904,Volkstümliche Singweisen zu den balladenartigen Volksliedern,Zusammengest. 1904,,,,,,,,,"in: Balladenborn, Deutscher, für jung und alt. Düsseldorf 1904"
997046155,Aal,1961,De @Catalogus van de boekhandel Blaeu uit 1659,,,,,,,,,,"in: Blaeu, In officina Ioannis"
997156570,Aal,1774,"Exempel-Buch der Anweisung zum Singen, zum Gebrauche der Schulen und anderer Liebhaber des Gesanges",,,,,,,,1262265487,Qd,in: Hiller: Anweisung zum musikalisch-richtigen Gesange. 1774
997307080,Aal,1864,Ein @altfranzösischer Preßprozeß gegen Tasso,,,,,,,,,,"in: Deutsche Jahrbücher. Bd 11, H. 1. April 1864"
997502746,Aal,1858,Zehn Jahre deutscher Preßfreiheit,,,,,,,,,,"in: Deutsche Vierteljahrs-Schrift. Jg. 21. 1858, H. 4"
997520620,Aal,1920,La @Foire de Francfort,Le livre allemand,,,,,,,,,"in: La Revue themane. 1920, No 2. Nov."
997631228,Aal,1911,"H. Füllner, Maschinenbauanstalt, Warmbrunn in Schlesien",,,,,,,,,,in: Industrie und Ingenieurwerke in Mittelschlesien. Breslau 1911. S. 52 - 59 mit Abb. u. 1 gef. Bl. 4
99765631X,Aal,1863,Basilius Amerbach,,,,,,,,,,in: Basler Taschenbuch auf das Jahr 1863. Jg. 11. - Sohn des Druckers Bonifacius Amerbach
997736836,Aal,1881,[Verzeichnis der lieferbaren Werke],"[N. P. Karbasnikov; Buchhandlung für Fremde, St. Petersburg]",,,,,,,,,in: [Russische Bibliographie]
997758619,Aal,1532,REformation des Key||serlichen Cammergerichts|| durch Römischer Keyserli||cher Maiestatt auch Ch°ur||fürsten vnnd ge||meyner Reichstende Com||missarien vnd rethe: z°u|| Speier im̄ eyn vnnd|| dreissigsten jar|| auffgericht||,,,,,,,,,,in: (Karl V.:) Abschiedt des Reichßtags zu Regenspurg Anno MDxxxij gehalten. Meyntz 1532
99790609X,Aal,1914,Die @Wasserzeichen im Papier,,,,,,,,,,in: Die Bugra. Leipzig 1914. Nr 11
997934093,Aal,1845,Toast des Herrn [Heinrich] Klemm [auf die Preßfreiheit und den letzten Censor] beim Abendessen des deutschen Schriftsteller-Vereins am 29. April [1845],,,,,,,,,,"in: Die Mode. Zeitung für die elegante Welt. 1845, No. 22. - Holzschn. von Ludwig Richter am Kopf d. Zeitschr. [= Hoff u. Budde Nr. 861 - 863]"
997934972,Aal,1933,75 Jahre Verlag Klimsch,60 Jahre Klimschs Druckerei-Anzeiger,,,,,,,,,"in: Klimschs Druckerei-Anzeiger. Jg. 60. 1933, Nr 52. Jubiläums-Ausg."
998100528,Aal,1929,Kosmobiologische Bibliographie,"Überblick über erfahrungs-wissenschaftl., kulturgeschichtl. u.a. Beiträge zur Frage d. Beziehgn zwischen außerird. Vorgängen u. irdischem Geschehn",,,,,,,,,"in: Jahrbuch f. kosmo-biologische Forschung. Bd 2. 19290, S. 131 - 144"
998108200,Aal,1576,"Meißnische Chronica,|| Wie die Hochgebor||nen Fürsten von Meissen,etc.|| erst herkomen, vnd Christlichen glauben|| angenommen haben ...",,,,,,,,,,"in: Reineck, Reiner: Von der Meißner anfenglichem herkommen ... Leipzig 1576"
99842353X,Aal,1844,[In dem Laden eines Buchhändlers zu Prag],,,,,,,,,,"in: Frankfurter Konversationsblatt. 1844, No 26. Jan., S. 104"
998439789,Aal,1846,Une @géographie de Paris,,,,,,,,,,"in: Diable, Le, à Paris"
998468649,Aal,19XX,Musikdrucke der fürstäbtlichen Offizin Kempten,,,,,,,,,,in: Nachrichten aus dem Kösel-Verlag. Gedr. zum 375 jähr. Bestehen von Druckerei u. Verlag. 1968
998824968,Aal,1928,"Karl Klietsch, dem Erfinder der Heliogravüre und des Rakeltiefdrucks zum Gedächtnis",,,,,,,,,,in: Führer durch die Karl-Klietsch-Gedächtnis-Ausstellung. Leipzig [ca. 1928]
998960403,Aal,1906,"Der @Entwurf des ""Gesetzes betreffend das Urheberrecht an Werken der bilden Künste und der Photographie"" nach den Beschlüssen der Reichstagskommmission",,,,,,,,,,"in: Das Recht. Jg. 10. 1906, Nr. 21, Sp. 1226 - 1234"
999223925,Aal,1864,"Anton Woensam von Worms, Maler und Xylograph zu Köln",sein Leben und seiner Werke ; Kunstgeschichtl. Monographie,,,,,,,,,in: Archiv f. d. zeichnenden Künste. Jg. 10. 1864. - [Die Arbeit ist auch als selbständ. Buch ersch.]
999265911,Aal,1929,Kleist-Bibliographie 1925 - 1930 mit Nachtr.,,,,,,,,,,in: Jahrbuch der Kleist-Gesellschaft- 1929/30
999383191,Aal,1899,Monopolonäse für Schulbücherverleger,"ein Hirtenlied, mit obligater Flöte auf d. letzten Loche zu begleiten ; [Nebst] Berichtigung [i.A.d.Verl. Ferd. Hirt, Breslau; betr. dessen Konkurrenz gegen üb. d. a. dt. Schulb. Verlegern]",,,,,,,,,"in: Sonntagsblatt d. Preussischen Lehrer-Zeitung 1899, Nr. 23, 11. Juni, S. 183 u. Nr. 27, 9. Juli, S. 214 - 215"
999453998,Aal,1957,Von wiedergefundenen Bachdokumenten,,,,,,,,,,in: Kulturspiegel (Arnstadt). Dezember 1957. S. 8 - 9. 8
999460153,Aal,1687,"Vade-mecum curiosum medicum et chirurgicum, oder sonderbare curiose Anleitung zur Medicin",... mit Beyfügung eines Urin-Büchleins,,,,,,,,,in: Mueller: Vade-mecum botanicum
999474480,Aal,1741,"Historischer Bericht von denen ersten Erfindern dieser Kunst, denen Franckfurtischen Buchdruckern u.d. 3. Buchdrucker Jubel-Fest",,,,,,,,,,"in: Münden: Danck-Predigt, ..."
999488317,Aal,1737,"Heinrich Müllers Geistliche Erquick-Stunden, welche in dreyhundert Haus- und Tisch - Andachten ... bestehen ...",,,,,,,,,,in: Mueller-Heinrich Müllers Himmlischer Liebes-Kuß oder Evangelische Betrachtüngen ...
999490338,Aal,1913,Van der nedderval der Veneddyer,,,,,,,,,,"in: Collijn, Isak: Van dem nedderval der Veneddyer. Zwei niederdeutsche in Lübeck u. Hamburg gedr. Ausg. ein. Maximilianischen Flugschrift a.d.J. 1509. Hamburg 1913"
999495763,Aal,1755,Tränen- und Trost-Quelle bei Erklärung der Geschichte von der großen Sünderin,,,,,,,,,,in: Mueller: Evangelischer Hertzens-Spiegel. 5. Aufl. Erfurt 1755
999497561,Aal,1607,Strategematicon sive de soletibus ducum factis et dictis libri 4,,,,,,,,,,"in: Rutgers, Ioannes: Variarum lectionum libri 6 ad Gustavum II. Svecorum et G. regem"
99950052X,Aal,1919,Fortegnelse over trykkene efter trykkesteder og bogtrykkere,,,,,,,,,,"in: Nielsen, Lauritz: Dansk Bibliografi T. 1. 2. 1482 - 1600"
999501070,Aal,1846,Die @Narrenbeschwerung,"ein gar sehr nutzliches, kurtzweyliges vnnd lustiges Büchlin ...",,,,,,,,,"in: Scheible, J.: Das Kloster, weltlich und geistlich. Bd. 4. Zelle 15"
999501186,Aal,1846,Ob der Künig vß engelland ein lügner sey oder der Luther,,,,,,,,,,"in: Scheible, J.: Das Kloster, weltlich und geistlich. Bd. 4. Zelle 16"
999501410,Aal,1845,"Die @Schelmen Zunfft, in welcher angezeiget wirdt, aller Welt mütwillen, büberey und schalckheiten so in disen zeiten sehr im schwanck gehen",,,,,,,,,,"in: Scheible, J.: Das Kloster, weltlich und geistlich. Bd. 1. Zelle 1 - 4"
999504541,Aal,1925,Musikwissenschaft,,,,,,,,,,in: Theatergeschichte
99957714X,Aal,1912,Die @Photographie als selbständige Bild-Erschafferin,,,,,,,,,,in: Die technischen Kurse der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 5
999608223,Aal,1894,Der @Schreibekrampf und seine verwandten Krankheisformen,"für Comptoir, Canzlei und Schule",,,,,,,,,in: Neumann: Die Vortheile beim Schreiben
999608436,Aal,1955,Lumpáciusz Vagabundusz vagy a három jómadár,,,,,,,,,,"in: Heltai, Jenö: Öt mesejátek. Bd. 3"
999609513,Aal,1781,Kern aller Gebete,,,,,,,,,,in: Das mit Singen und Beten vor Gott erscheinende Oelsnitz
999626647,Aal,1938,"Das @Begängnis Friedrich III. zu Wien, am 7. Dezember 1493",,,,,,,,,,"in: Fruehdrucke, drei zur Reichsgeschichte. Leipzig 1938. 4°"
99965120X,Aal,1941,Das @Zunftrecht der Stadt Krakau im Mittelalter,,,,,,,,,,"in: Winkler, Friedrich: Der Krakauer Behaim-Codex"
999668269,Aal,1840,Die @Bücherliebhaber jetzt und ehedem,,,,,,,,,,"in: Magazin f. d. Literatur d. Auslandes. Nr. 90.1840, S. 357 u. Nr. 91.1840, 362-363"
999668544,Aal,1830,Recherches sur le style,,,,,,,,,,"in: Gondar, Jacques: Chroniques françoises"
99966896X,Aal,1842,Ein @Wort über Bücherliebhaberei,,,,,,,,,,"in: Magazin f. d. Literatur d. Auslandes. Nr. 133.1942, S. 529-531"
99968664X,Aal,1952,Ein @Zeugnis von Johann Sebastian Bach,,,,,,,,,,in: Musik der Gesellschaft. 1952. Nr. 10. S. 331 - 334 mit 2 Abb. 4°
999709704,Aal,1963,České renesanční vazby ve východočeských sbírkách,Böhmische Reaissance-Bucheinbände in den ostböhmischen Sammlungen,,,,,,,,,"in: Práce musea v Hradci Králové. Ser. B, 5.1963"
999714678,Aal,1893,Zur Entstehung der Manesse-Handschrift,,,,,,,,,,"in: Jahrbücher, Neue Heidelberger. Jg. 3. 1893, 1."
999717898,Aal,1860,Brief von Alardus Amstelredamus,1542,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
999735896,Aal,1833,Geschichte eines Buches,,,,,,,,,,"in: Berliner Figaro. Jg. 3. 1833, Nr. 262-266, S. 1045-1047; 1049-1050; 1053-1055; 1057-1059; 1061-1062"
999737988,Aal,1927,A @Beethoven bibliography,,,,,,,,,,"in: Music & Letters. Vol. 8. 1927, No. 2, S. 276 - 288"
999738178,Aal,1591,"Della simmetria de i corpi humani, libro quinto",,,,,,,,,,"in: Duerer, Albrecht: Della simmetria de i corpi humani, libri quattro. - [Hierin sind begriffen vier bücher von menschlicher Proportion, ital.]"
999755307,Aal,1761,"Die @Kunst zu tuschen oder die neueste Manier, Befestigungen u. andere Risse mit gehörigen Farben zu mahlen u. zu tuschen",,,,,,,,,,"in: Bosse, Abraham: De La Manière de graver à lʹeau forte ... [dt.]"
999767607,Aal,1840,Verzeichnis der am Festtage ausgestellten typographischen Merkwürdigkeiten,,,,,,,,,,"in: Ott-Usteri,: Eröffnungs-Rede der Jahres-Versammlung der Museum-Gesellschaft in Zürich am Jubelfeste der Erfindung der Buchdruckerkunst, den 24.6.1840"
999770667,Aal,1925,Orientalistik,,,,,,,,,,"in: Sprachwissenschaft, Allgemeine, und Literaturwissenschaft"
999798456,Aal,1726,"Volumen Evangeliorum a Johanne Schiltero Latinitate donatum ac eximiis observationibus exornatum, collatum autem cum cod. ms. ac notis auctum a Joh. Georgio Scherzio",,,,,,,,,,"in: Schilter, Johann: Thesaurus antiquitatum Teutonicarum ... T. 1. 1728"
999801457,Aal,1740,[Widmungsgedicht],,,,,,,,,,"in: Beschreibung, Vollstaendige, und Sammlung alles dessen, was bey dem den 29ten Junii, 1740, zu Coburg, ... wegen der vor dreyhundert Jahren erfundenen edlen Buchdrucker-Kunst gefeierten Jubilaeo vorgefallen und abgehandelt worden"
999815032,Aal,1637,Le @Jugement de Pâris,,,,,,,,,,"in: Ovidius Naso: Les Métamorphoses [Metamorphoses, franz.]"
999816462,Aal,1927,Gesetz zur Bewahrung der Jugend vor Schund- und Schmutzschriften,,,,,,,,,,"in: Schnitzler, Leo: Die Bekämpfung von Schund und Schmutz"
999816519,Aal,1927,"Gesetz über das literarische, wissenschaftliche und künstlerische Eigentum",,,,,,,,,,in: Dekret No. 13. 725. Lissabon 1927
999822012,Aal,1859,Bibliographie Japonaise ou Catalogue des ouvrages relatifs au Japon qui ont été publiés depuis le XVe siècle jusquʹà nos jours,,,,,,,,,,"in: Wenckstern, Fr. von: A Bibliography of the Japanese Empire"
999822446,Aal,1760,"Alphabets mineurs: Ronde, Batardes, Coulée",[Schreibvorlage],,,,,,,,,"in: Royllet, Sébastien: Vorschriften"
999838741,Aal,1677,Spicilegia in Sallustium,,,,,,,,,,"in: Sallustius, Gaius, Crispus. - C. Crispi Sallustii opera omnia quae exstant"
999841777,Aal,1969,Vita Mercatoris,,,,,,,,,,"in: Osley, A. S.: Mercator. London 1969. - [engl.]"
999853929,Aal,1948,Das @Papier,,,,,,,,,,in: Ciba-Rundschau. H. 80
999861026,Aal,1958,Das @Deutsche Papiermuseum in Greiz,,,,,,,,,,in: Wissen und Leben. 1958. H. 3. S. 203
999867431,Aal,1957,Kunstsprache,Lexikon d. Fachsprache v. Kunst u. Kunsthandel,,,,,,,,,"in: Parow, Rolf: Kunststile. Lexikon d. Stilbegriffe"
99988722X,Aal,1623,"Etyma nominum proprium, itemque Analysis Hebraeorum, Syricorum & Latinorum vocabulorum, quae in Novo Testamento uspiam occurrunt",,,,,,,,,,in: Pasor: Lexicon Graeco Latinum in Novum Domini nostri Jesu Christi Testamentum. 1647
999891944,Aal,1843,Heinrich Stephanus,,,,,,,,,,in: Passow: Vermischte Schriften [Teils]
999906348,Aal,1923,Ein @Traum vom Chaos,"[Flegeljahre, Auszug.]",,,,,,,,,"in: Schriftgußaktiengesellschaft vorm Brueder Butter: Die Jean-Paul-Fraktur. Schriftprobe enthaltend eine Vorbemerkung, einen Sonderdruck von Jean Pauls Traum vom Chaos, ... Dresden 1923"
999907077,Aal,1536,Diui Pauli epistolae,,,,,,,,,,in: Johannes Chrysostomus: Enarrationes [Homiliae] ... in Diui Pauli Epistolas
999930745,Aal,1914,Gedanken über das Problem des Selbstbewußtseins bei Lesung der Upanishads,,,,,,,,,,"in: Die Philosophie altindische, nach den Grundworten der Upanishads [Upanişad, Ausz., dt.]"
999930931,Aal,1954,Bibliography of publishing and bookselling,,,,,,,,,,"in: Mumby, Frank Arthur: Publishing and bookselling. (3. rev. ed.)"
999956531,Aal,1650,Auli Persii Flacci Satyrae sex,,,,,,,,,,in: Decimus Juvenal Junius: Satyrae
999956809,Aal,1746,Satirae 6,,,,,,,,,,in: Juvenalis Decius Junius: Satirarum Satirae libri 5. Titelaufl. 1754
999957449,Aal,1780,Satyrarum liber,Ex. recensione Isaaci Casauboni fideliter expressus,,,,,,,,,in: Decimus Juvenalis Junius: Satyrae. 1781
999957996,Aal,1845,Auli Persii Flacci satirae sex,,,,,,,,,,"in: Juvenalis, Decimus Junius - Decii Junii Juvenalis Aquintatissatirae decem et sex. [Werke]"
999958127,Aal,1540,Nicolai Peroti Sipontini Praesulis Libellus de metris odarum Horatianarum,,,,,,,,,,"in: Horatius Flaccus, Quintus: [Werke.] Poemata omnia. Cum quinque commentis"
999964240,Aal,1686,"Panegyrici duo, alter de Rupella expugnata, (Ludovico XIII. dictus,) alter de Delphino",,,,,,,,,,"in: Labbé, Pierre: Elogia sacra"
999970941,Aal,1948,Insel des Friedens,,,,,,,,,,"in: Erenburg, Ilʹja: Der Löwe auf dem Marktplatz. Lev na ploscadi, dt."
999997416,Aal,1766,Kurzgefaßtes französisch-lateinisch-deutsches Lexico,,,,,,,,,,"in: Philander: Der neueste und vollständigste Briefsteller, welcher eine gründliche Anleitung ..."
999997491,Aal,1766,Vollständiges französisches und deutsches Titularbuch,,,,,,,,,,"in: Philander: Der neueste und vollständigste Briefsteller, welcher eine gründliche Anleitung ..."
999997572,Aal,1766,Gründliche Unterweisung zur deutschen heut zu Tage nöthigen Rechtschreibekunst,,,,,,,,,,"in: Philander: Der neueste und vollständigte Briefsteller, welcher eine gründliche Anleitung ..."
999997734,Aal,1702,Carmina,,,,,,,,,,"in: Wilhelmi, Johann Gerlach: Fasciculus Graecus"
1000014002,Aal,1872,Zur Geschichte und Bibliographie der encyklopädischen Literatur insbesondere des Conversations-Lexikon,,,,,,,,,,"in: Brockhaus, Heinrich: F. A. Brockhaus in Leipzig. [Einl.] 1. 1872"
1000025543,Aal,1644,Apologia sive laus podagrae,,,,,,,,,,in: Dissertationum ludicrarum et amoenitatum Scriptores varij
1000040445,Aal,1744,Iano Planco Ariminensi Vita Fabi [Colvmnae] et Lynceorum notitia adnotationesque in Phytobasanon,,,,,,,,,,"in: Columna, Fabius Phytobasanos (plantarum aliquot historia) Plouro? [=Italicner und Rimini]"
100004274X,Aal,1860,Briefe von und an Christoph Plantin in Antwerpen,1576 - 1586,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1000055663,Aal,1503,Bohemicae historiae Pape Pii libri V ad Alphosu rege,,,,,,,,,,in: Pius II.: Cosmographia [Historia rerum ubique gestarum]
1000055981,Aal,1568,Bulla S. D. N. D. Pii divina providentia Papae IV. super ordinatione et promotione doctorum et aliorum cuiuscunq[ue] artis et facultatis professorum de caetero observanda,,,,,,,,,,"in: Index librorum prohibitorum, cum regulis confectis per patres a Tridentina synodo delectos, auctoritate Sanctiss. D. N. Pii IV. Pont. Max. comprobatus"
1000071774,Aal,1520,Amatoriae narrationes,,,,,,,,,,"in: Alexander Aphrodisiensis: Super nonullis physicis quaestionibus solutionum liber [Problemata, Ausz., lat.]"
1000072444,Aal,1551,Vita Homeri,,,,,,,,,,in: Homerus [Werke lat. u. griech.] Opera omnia quae extant. (2) 4°
1000072495,Aal,1551,Vita Homeri,,,,,,,,,,in: Homerus [Werke lat. u. griech.] Opera omnia quae extant. (2) 4°
1000072649,Aal,1517,Plutarchi Cheronei Parallela,,,,,,,,,,in: Valerius Maximus: [Werke.] Exempla quatuor et vigniti nuper inventa ante caput de omnibus. [Factorum ac dictorum memorabilium libri novem]
1000094790,Aal,1929,Katalog der Bibliothek des M. Johannes Poliander,,,,,,,,,,"in: Krollmann, Christian: Geschichte der Stadtbibliothek zu Königsberg"
1000110052,Aal,1585,"Marci Pauli Veneti Itinerarium, seu de rebus Orientalibus libri tres",,,,,,,,,,in: Hetoum Prinz von Gorigos: Historia Orientalis
100012052X,Aal,1598,"Ioannis Ioviani Pontani, ad Alphonsum Calabriae Ducem, De principe liber",,,,,,,,,,"in: Heresbach, Konrad: De educandis atque erudiensis principum liberis"
1000133036,Aal,1852,Offenes Sendschreiben an Prof. Pott,,,,,,,,,,in: Steinthal: Die Entwicklung der Schrift
1000147118,Aal,1764,"Abdruck von Einfassungen samt einer Anleitung, wie einige Leistlein und Finalien zu verschiendenen Einfassungen zierlich können angewendet werden",,,,,,,,,,"in: Pramsteidel, Eigentliche Entschildervng ... 1764"
1000158837,Aal,1903,Anicia Juliana im Wiener Dioskurides-Kodex,,,,,,,,,,"in: Wickhoff, Franz: Aus der Werkstatt Bonifacios"
1000162362,Aal,1874,Press-Gesetz für das Deutsche Reich vom 7. Mai 1874,[Als Druckschriftprobe v.] C. G. Naumann,,,,,,,,,"in: Naumann, C. G.: Preisliste für den Buchhandel"
1000164365,Aal,1852,Das @Preßgesetz vom 17. December 1862,,,,,,,,,,"in: Strafgesetz, Das allgemeine, vom 27. Mai 1852"
1000171523,Aal,1877,Proper lessons for sundays and other holy-days,,,,,,,,,,"in: The Book, of common prayer"
1000171744,Aal,1772,Opera,,,,,,,,,,"in: Catullus, Gaius Valerius: Opera [Werke]"
1000172686,Aal,1790,"Proben neuer Didotscher Lettern, welche bey mir Endesgesetzten, den Schriftschneider und Gießer  J. C. L. Prillwitz in Jena gefertigt werden",,,,,,,,,,in: Journal des Luxus u. der Moden. May 1790 Weimar (1790)
100017526X,Aal,1963,Printing and the mind of man,an exhibition of fine printing in the Kingʹs Library of the British Museum ; July - Sept. 1963,,,,,,,,,"in: Printing and the mind of man. Catalogue of a display of printing mechanisms and printed materials ... assembled at the British Museum and at Earls Court, London, 16 - 27 July 1963"
1000175456,Aal,1886,Protokoll über die am 22. Nov. 1886 ... zu Frankfurt am Main abgehaltene konstituierende Hauptversammlung des Deutschen Verlegervereins,,,,,,,,,,in: Mitteilungen des Deutschen Verlegervereins. 1 - 100. 1887 - 1901
1000189376,Aal,1836,Des @Königs und Propheten Davids Psalter,,,,,,,,,,in: Altenburgisches Gesangbuch nebst Gebeten
1000191524,Aal,1784,Sententiae,,,,,,,,,,in: Phaedrus: Fabulae
1000191621,Aal,1729,Selectae sententiae ex mimis,,,,,,,,,,in: Phaedrus: Fabulae
100019227X,Aal,1903,Psalmi [engl.],,,,,,,,,,in: Agenda [engl.] The book of common prayer
100019809X,Aal,1920,Graphische Technik,Charlottenburg-Berlin,,,,,,,,,in: Graphik moderner Künstler. Text
100020233X,Aal,1925,Psychologie,,,,,,,,,,in: Philosophie
1000207307,Aal,1702,Carmina,,,,,,,,,,"in: Wilhelmi, Johann Gerlach: Fasciculus Graecus. - Angebl. Verf.: Pythagoras. - Griech. Titel: Chrysa epē"
1000216004,Aal,1706,Vollständiges Gesangbuch geistreicher von Luthero und andern theurern Lehrern der Kirchen verfertigten ... Lieder ...,,,,,,,,,,"in: Quirsfeld, Johann: Neu-vermehrter Sing- und Bet-Altar. 1707"
1000232115,Aal,1925,Les @grandes et inestimables Croniques du grant et enorme geant Gargantua,,,,,,,,,,"in: Publications, deux, Lyonnaises de 1532"
100023391X,Aal,1925,Pantagrueline prognostication,,,,,,,,,,"in: Deux Publications, Lyonnaises de 1532"
1000276945,Aal,1799,Anzeige der vorzüglichsten Absichsten und Hauptresultate der kantischen Philosophie,,,,,,,,,,"in: Kant. Immanuel: Kantische Blumenlese [Werke, Ausz.]"
1000287513,Aal,1804,Prolusio scholastica habita,,,,,,,,,,"in: Cras, Hendrik Constantin: Memoria Diderici Adriani Walraven ... 1804"
1000287602,Aal,1930,Eine @Auswahl aus seinen Predigten und Schriften,,,,,,,,,,in: Furche-Almanach. 1930
1000290026,Aal,1778,Archäologische Untersuchungen,,,,,,,,,,"in: Potter, John, 1674 - 1747: Griechische Archäologie [Archaeologia Graeca, dt.] Th. 3"
1000298884,Aal,1933,Die @autobiographischen Aufzeichnungen Erhard Ratdolts 1462 - 1523,,,,,,,,,,"in: Diehl, Robert: Erhard Ratdolt. Ein Meisterdrucker des 15. und 16. Jahrhunderts"
1000299333,Aal,1611,Discours vom dem Leben des autoris [Marco Polo],,,,,,,,,,"in: Polo, Marco: Chorographia Tartariae"
1000316173,Aal,1923,Die @Übertragungsverfahren für Photolithographie und Offsetdruck,,,,,,,,,,"in: Russ, Rud. u.L. Englich: Chemigraphie"
1000318745,Aal,1866,Über die Wasserzeichen der ältesten Leinenpapiere in Schlesien,mit 8 lithogr. Taf.,,,,,,,,,in: Sechster Bericht des Vereins für das Museum schlesischer Alterthümer. Breslau 1866: Robert Nischkowsky. S. 49 - 54 u. Taf. 6 - 13. 4°
1000337561,Aal,1740,"Appendix tripartita isagogica, ad libros ecclesiae Lutheranae symbolicos, ...",,,,,,,,,,in: Confessio fidei et doctrinae. Ed. nova repurgata. Lipsiae 1742
1000344088,Aal,1891,Reformation des bayrischen Landrechts,"1518 - 1520 ; [Ausschnitt aus] Blatt CLVIII [mit dem Wasserzeichen Ochsenkopf mit Kreuzstab, von Schlange umwunden]",,,,,,,,,"in: Lempertz sen, Heinrich: Beiträge zur Gesch. des Leinen-Papiers. 2. Aufl. 1. Köln-Weiden 1891"
1000344177,Aal,1752,"Der @geistliche Bethaltar, oder Gebethbuch ...",,,,,,,,,,in: Das privilegirte vollständige und vermehrte Leipziger Gesangbuch
100034455X,Aal,1880,"Worte, gesprochen am Grabe des Carl Julius Meinhold",,,,,,,,,,"in: Franz, : Rede am Sarge des ... Hofbuchdruckers Carl Julius Meinhold"
1000348067,Aal,1749,Beschreibung des Saltz-Wercks zu Halle in Sachsen ... 1670 zu Halle gedruckt,,,,,,,,,,"in: Dreyhaupt, Johann Christoph von: Pagus neletici et nudzici ... Halle 1755. Th. 1, Beil. A"
1000348229,Aal,1771,Agenda das ist Kirchen-Ordnung ... für d. Diener d. Kirchen in Herzog Heinrichs zu Sachsen ...,Fürstenthum gestellet ; Aufs neue aus Churfürst Augusti Kirchen-Ordnung gebessert auch verm.,,,,,,,,,in: Vollständiges Kirchenbuch
1000348989,Aal,1843,Über den geschichtlichen Gang der ältesten Holzschneidekunst insbesonderen in Schwaben,,,,,,,,,,in: Verhandlungen d. Vereins f. Kunst u. Alterthum in Ulm u. Oberschwaben. Bericht 1
1000351556,Aal,1926,"10. Regierungsverordnung vom 17. Februar 1927 zur Durchführung des Gesetzes vom 24. November 1926, S.d.G. und V. Nr. 218, betreffend das Urheberrecht an Werken der Literatur, Kunst und Photographie (Autorrecht)",,,,,,,,,,"in: Gesetz vom 24. November 1926, betreffend das Urheberrecht an Werken der Literatur, Kunst und Photographie <Autorrecht> um 1932"
1000368041,Aal,1849,Reichsgesetz über die Wahlen der Abgeordneten zum Volkshause,,,,,,,,,,in: Grundrechte des deutschen Volkes
1000376133,Aal,1555,Methodus conscribendi epistolas autore Christophoro Hegendorphino,[Epitome],,,,,,,,,"in: Erasmus Roterodamus, Desiderius: De conscribendis epistolis"
1000401820,Aal,1531,Brief des Erasmus von Rotterdam an Johann Herwagen,,,,,,,,,,in: Froben: Briefwechsel
1000413004,Aal,1924,Zeittafeln zur Geschichte des schönen Buches von 1880 bis 1923,,,,,,,,,,"in: Braumueller, W.: Buchkunst d. Gegenwart, Buch- u. Schriftwesen. Wien 1924. [Antiquariat]"
1000413071,Aal,1934,Reichsbewertungsgesetz vom 16. Okt. 1934,,,,,,,,,,in: Vermoegensteuergesetz vom 16. Okt. 1934
1000420906,Aal,1883,Censurwesen in Altbayern,,,,,,,,,,in: Heigel: Neue historische Vorträge und Aufsätze. S. 231 - 257
1000430200,Aal,1574,A. Hircii de bello Alexandrino lib. I,,,,,,,,,,"in: Caesar, Caius Julius: De bello Gallico commentarii VII"
1000430308,Aal,1574,A. Hircii de eodem liber octavus,,,,,,,,,,"in: Caesar, Caius Julius: De bello Gallico commentarii VII"
